0.82
class4,p
nonevent,0.85
nonevent,0.55
Ib,0.44
II,0.41
nonevent,0.38
II,0.54
nonevent,0.96
nonevent,0.88
II,0.43
Ib,0.38
nonevent,0.96
nonevent,0.61
nonevent,0.73
nonevent,0.85
II,0.4
nonevent,0.87
Ib,0.41
nonevent,0.54
II,0.68
nonevent,0.85
nonevent,0.74
nonevent,0.62
II,0.53
nonevent,0.91
nonevent,0.86
Ib,0.39
II,0.5
II,0.39
nonevent,0.67
nonevent,0.72
nonevent,0.93
Ib,0.46
nonevent,0.74
Ib,0.34
II,0.55
II,0.58
II,0.66
nonevent,0.76
II,0.33
nonevent,0.96
nonevent,0.86
II,0.42
nonevent,0.86
nonevent,0.78
nonevent,0.6
nonevent,0.71
nonevent,0.61
II,0.51
II,0.38
nonevent,0.49
Ib,0.33
nonevent,0.79
nonevent,0.74
nonevent,0.95
nonevent,0.92
nonevent,0.81
Ib,0.49
nonevent,0.94
II,0.64
nonevent,0.96
nonevent,0.85
nonevent,0.86
nonevent,0.76
Ib,0.62
II,0.36
nonevent,1.0
II,0.41
Ib,0.41
II,0.48
II,0.48
Ib,0.43
Ib,0.32
II,0.62
nonevent,0.62
nonevent,0.93
nonevent,0.91
II,0.51
nonevent,0.53
nonevent,0.75
nonevent,0.98
II,0.67
nonevent,0.46
nonevent,0.85
nonevent,0.89
Ib,0.38
nonevent,0.61
nonevent,0.91
nonevent,0.87
nonevent,0.55
II,0.31
nonevent,0.64
nonevent,0.75
nonevent,0.75
II,0.34
Ib,0.31
nonevent,0.54
nonevent,0.81
II,0.47
nonevent,0.87
Ia,0.35
nonevent,0.72
nonevent,0.54
II,0.38
nonevent,0.83
nonevent,0.82
nonevent,0.89
II,0.56
nonevent,0.68
nonevent,0.4
II,0.45
nonevent,0.76
nonevent,0.64
nonevent,0.63
nonevent,0.54
II,0.39
II,0.41
nonevent,0.96
II,0.32
II,0.4
nonevent,0.92
nonevent,0.6
Ib,0.35
Ib,0.35
II,0.56
Ib,0.49
nonevent,0.77
II,0.43
II,0.59
nonevent,0.7
II,0.46
nonevent,0.85
nonevent,0.86
nonevent,0.72
II,0.55
II,0.56
II,0.51
nonevent,0.89
II,0.37
II,0.47
II,0.35
nonevent,0.69
II,0.48
II,0.35
nonevent,0.77
nonevent,0.75
nonevent,0.68
nonevent,0.75
nonevent,0.82
II,0.63
II,0.68
nonevent,0.37
nonevent,0.84
II,0.32
nonevent,0.65
nonevent,0.46
nonevent,0.45
nonevent,0.91
II,0.55
nonevent,0.41
Ib,0.37
nonevent,0.59
nonevent,0.58
Ib,0.53
nonevent,0.98
nonevent,0.49
nonevent,0.48
nonevent,0.65
nonevent,0.83
nonevent,0.86
nonevent,0.78
nonevent,0.93
nonevent,0.87
nonevent,0.97
II,0.44
nonevent,0.87
nonevent,0.59
II,0.55
II,0.42
II,0.52
II,0.45
nonevent,0.78
nonevent,0.79
nonevent,0.89
II,0.65
nonevent,0.67
II,0.39
II,0.53
II,0.59
II,0.57
nonevent,0.75
nonevent,0.88
nonevent,0.79
II,0.55
II,0.51
nonevent,0.84
nonevent,0.68
Ib,0.41
nonevent,0.86
